Name	Type	Description	Price
Emergency Exit	Ability	The first time each battle that your wounds increase past half your wound threshold you can swap out as an out of turn incedental. If you are a wild Poke you instead leave the battle.	0
Fairy Aura	Ability	Base damge of fairy Type Moves used within medium range of you is increased by 2.	0
Filter	Ability	Moves you are weak to deal half as much extra damage as they usually would rounded down	0
Flame Body	Ability	You may use 2 disadvantages on Moves used against you in engaged range to give the user the Burn Status Effect	0
Flare Boost	Ability	While you have the Burned condition base damage of all Arcane Moves is increased by 2	0
Flash Fire	Ability	If a Fire Type Move is sucessfully used against you you suffer no wounds and instead increase the base damage of you Fire Type Moves by 2 for the rest of the battle this effect does not stack.	0
Flower Gift	Ability	Durring Harsh Sunlight and Extremly Harsh Sunlight you gain Hone 1 and Encourage 1	0
Flower Veil	Ability	Allied Grass Type Pokes within medium range gain the Insolated conddition and are immune to Dull, Wane, Slow, Erode, and Discourage caused by other Pokes, and if targeted by Yawn it fails without a roll.	0
Fluffy	Ability	Gain weakness to Fire Type Moves. Gain resistance to moves with range of engaged.	0
Forcast	Ability	Your Type Changes to match the weater. Rain and Heavy Rain are Water, Hail and Hail Storm are Ice, Harsh Sunlight and Extremly Harsh Sunlight, are Fire. All others are Normal.	0
Forewarn	Ability	You know enemy's Move with the highest base damage	0
Friend Guard	Ability	Allies within short range take 2 less wounds when they would take wounds from other Pokes.	0
Frisk	Ability	You know what enemies held items are	0
Full Metal Body	Ability	You are immune to Dull, Wane, Slow, Erode, and Discourage caused by other Pokes	0
Fur Coat	Ability	The first time you enter the battlefield Fortify 2	0
Gale Wings	Ability	Your Flying Type Moves gain the Quickness Property	0
Galvanize	Ability	Your Normal Type Moves are Electric Type instead	0
Gluttony	Ability	Berries are 50% more effective on you.	0
Good as Gold	Ability	Non-damaging Moves that target you fail without a check.	0
Gooey	Ability	Each time you are the target of a successful Move with the range of engaged the user suffers Slow 1	0
Gorilla Tactics	Ability	The first Move used by the holder has its base damge increased by 2 and gains the Locked In Property for the rest of the battle	0
Grass Pelt	Ability	While the battlefield is Grassy Terrain the you gains Fortify 2	0
Grassy Surge	Ability	When you enter the battlefield Terrain becomes Grassy	0
Grim Neigh	Ability	If you cause another Poke to feint gain Wax 1	0
Guard Dog	Ability	You are immune to the Scare Property. If you are subject to the Intimidate Ability you ignore it and gain Hone 1	0
Gulp Missle	Ability	After you use Surf or Dive your next attack gains the Paralyze and Erode 1 Properties	0
Guts	Ability	Your damage does not decrease due to the Burn Status effect. While effected by a non-volatile Status Effect Hone 2	0
Hadron Engine	Ability	When you enter the battlefield Terrain becomes Electric. While the Terrain is Electric gain Wax 1	0
Harvest	Ability	You may spend 2 advantages from a Move check to recover a berry you used since the end of your last turn. In Harsh Sunlight or Extremly Harsh Sunlight you do not need to spend advantages.	0
Healer	Ability	You may spend 3 advantge on a Move check to remove a Status Effect from an ally in engaged range	0
Heatproof	Ability	The Burn Status Effect inflicts 1 wound instead of two to you. Halve wounds suffered from Fire Type Moves.	0
Heavy Metal	Ability	Your weight is considered double your actual weight for all effects.	0
Honey Gather	Ability	Once per session if you have no held item gain one honey	0
Huge Power	Ability	The first time you enter the battlefield Hone 2	0
Hunger Switch	Ability	The Move Aura Wheel becomes Electric Type on odd combat rounds and Dark Type on even combat rounds	0
Hustle	Ability	Your Brawl moves gain Inaccurate 2. The first time you enter the battlefield Hone 2	0
Hydration	Ability	At the end of each round if the Weather is Rain or Heavy Rain remove any non-volatile Status Effects you have	0
Hyper Cutter	Ability	You are immune to Dull caused by other Pokes	0
Ice Body	Ability	Durring Hail and Ice  Storm you heal 1 wound at the end of each round	0
Ice Face	Ability	The first time you are targeted with a Brawl Move after the weather changes to Hail or Hail Storm the move fails without a roll. If the weather was Hail or Hail Storm when the battle began this ability still activates.	0
Ice Scales	Ability	Gain the Special Resistance condition	0
Illuminate	Ability	You are a light source	0
Illusion	Ability	You apear as another Poke in yohur trainers party until you take your first wound from a Move in each battle. For Wild Pokes you apear as a random Poke native to the area.	0
Immunity	Ability	You are immune to the Poison Property. If you gain this ability while you have the Poisoned Status Effect remove the Status Effect.	0
Imposter	Ability	When you enter the battlefield you become a copy of target opponent within short range you gain their stats, abilities, moves, and typing, but retain your talents. If no enemies are within short range you use this ability on the first enemy to enter short range.	0
Infiltrator	Ability	You ignore the Insolated condition on targets of your Move checks	0
Innards Out	Ability	When yout feint do to a Move increasing your wounds past your wound threshold the user of that Move suffers wound equal to the difference in your wound threshold and the number of wounds you had prior to that Move +1.	0
Inner Focus	Ability	You are immune to the Flinch Property	0
Insomnia	Ability	You are immune to the Sleep Property	0
Intimidate	Ability	When you enter the battlefield Pokemon in engaged range suffer Dull 1	0
Intrepid Sword	Ability	The first time you enter the battlefield Hone 1	0
Iron Barbs	Ability	When a Move targeting you with range of engaged succeeds the user suffers 2 wounds. If this causes the user to feint you take no damge from the Move.	0
Iron Fist	Ability	Your Moves with Punch in the name have their base damge increased by 2.	0
Justified	Ability	Each time you are hit by a Dark Type Move Hone 1	0
Keen Eye	Ability	Do not add setback die to your Move check for your targets Armor, you are also immune to gaining the Inaccurate Property from other Pokes.	0
Klutz	Ability	You immedatly drop held items	0
Leaf Guard	Ability	Durring Harsh Sunlight and Extremly Harsh Sunlight you gain the Insolated condition and and if you are targeted by Yawn it fails without a roll.	0
Levitate	Ability	You are Airborne	0
Libero	Ability	Once per battle when making a Move Check you can change your Type to match the Type of theMopve you are using.	0
Light Metal	Ability	Your weight is considered half your actual weight for all effects.	0
Lightning Rod	Ability	You are immune to Electric Type Moves. If an Electric Type Move is used within medium range the target switches to you before the Move check is rolled. If the check succeeds you gain Wax 1.	0
Limber	Ability	You are immune to the Paralyzed Status Effect	0
Lingering Aroma	Ability	When a Move targeting you with range of engaged succeeds the user loses acess to their abilities and gains the ability Lingering Aroma until the end of the battle.	0
Liquid Ooze	Ability	If you are the target of a Move with the Drain Property you may spend two disadvantage to activate the Property. When the Drain Property is used on a Move that targeted you the user suffers wounds instead of healing them.	0
Liquid Voice	Ability	Moves you use with the Vocal Property are Water Type	0
Long Reach	Ability	You do not trigger effects that require an enemy to attack in engaged range	0
Magic Bounce	Ability	You have the Threatening Condition. When you are tergeted by and enemy's Move they gain the Worried 1 condition which triggers immedatly. 	0
Magic Guard	Ability	You are immune to DOT condition. You do not suffer wounds from Status Effects or Battlefield Effects. 	0
Magician	Ability	Your damaging Moves gain the Steal Property	0
Magma Armor	Ability	You are immune to the Fozen Status Effect	0
Magnet Pull	Ability	Steel Type enemies engaged with you gain Trapped condition	0
Marvel Scale	Ability	While effected by a Status Effect gain Fortify 2	0
Mega Launcher	Ability	Pulse Moves you use have their base damagef increased by 2	0
Merciless	Ability	When you make a Move Check targeting an enemy with the Poisoned Status Effect you get one free activation of a Move property if the check succeeds	0
Mimicry	Ability	Your Type Changes to match the Terrain. If no Terrain is active your typing remain the same.	0
Minus	Ability	When within short range of a Poke with the Plus Ability you gain Wax 2	0
Mirror Armor	Ability	If you would suffer Dull, Wane, Slow, Erode, or Discourage caused by another Poke they instead suffer it.	0
Misty Surge	Ability	When you enter the battlefield Terrain becomes Misty	0
Mold Breaker	Ability	Other Pokes Abilities do not effect you and if an effect you cause would be ignored by an Ability that ability does not trigger	0
Moody	Ability	At the end of each round Roll 1d6 twice the and do the folwing based on each roll. First die - 1: Hone 2. 2: Wax 2. 3: Haste 2. 4: Fortify 2. 5: Encourage 2. 6: reroll. Second Die - 1: Dull 1. 2: Wane 1. 3: Slow 1. 4: Erode 1. 5: Discourage 1. 6: reroll	0
Motor Drive	Ability	If a Electric Type Move is sucessfully used against you you suffer no wounds and instead Haste 1	0
Moxie	Ability	If you cause another Poke to feint gain Hone 1	0
Multiscale	Ability	If you would suffer wounds and are currently at 0 wounds suffer half as many wounds rounded up.	0
Multitype	Ability	At the beginning of each round choose a type you are that type	0
Mummy	Ability	When a Move targeting you with range of engaged succeeds the user loses acess to their abilities and gains the ability Mummy until the end of the battle.	0
Mycelium Might	Ability	You non-damaging Moves gain the Quickness Property	0
Natural Cure	Ability	When you swap out remove all conditions and Status Effects	0
Neurororce	Ability	Moves that hit a targets weakness gain an advantage	0
Neutralizing Gas	Ability	Pokes within short range lose all abilities	0
No Guard	Ability	Your Moves and any move targeting you gains the Homing and Crosshair Properties	0
Normalize	Ability	All your Moves are Normal Type instead od their actual Type	0
Oblivious	Ability	You are immune to the Infatuated Status Effect	0
Opportunist	Ability	If an enemy within short range gains Hone, Wax, Haste, Fortify, or Encourage you also gain the same benifit	0
Orichalcum Pulse	Ability	When you enter the battlefield Weather becomes Harsh Sunlight. While in Harsh Sunlight or Extremly Harsh Sunlight you gain Hone 1	0
Overcoat	Ability	You do not take damage from Sandstorm and are immune to Properties of Spore and Powder Moves	0
Overgrow	Ability	While your wounds are above half your wound threshold the base damage of Grass Type Moves is 2 higher	0
Own Tempo	Ability	You are immune to the Confused Status Effect and the Intimidate Ability	0
Parental Bond	Ability	All your Moves gain Linked 1 if they already have Linked increase the rank by 1	0
Pastel Veil	Ability	You are immune to the Poisoned Status Effect	0
Perish Body	Ability	When a Move targeting you with range of engaged succeeds both you and the user Suffer Doom 3 condition	0
Pickpocket	Ability	Your Moves with range of engaged gain the Steal Property. You may activate the Steal Property for free.	0
Pickup	Ability	If another Poke within short range drops or consumes an item you may gain a cpoy of that item as an out of turn incedental.	0
Pixilate	Ability	Your Normal Type Moves become Fiary Type instead and their base damage increases by 1	0
Plus	Ability	When within short range of a Poke with the Minus Ability you gain Wax 2	0
Poison Heal	Ability	When you would suffer wounds from the Poisoned Condition Woulds you instead heal that many wounds.	0
Poison Point	Ability	You may use 2 disadvantages on Moves used against you in engaged range to give the user the Poisoned Status Effect	0
Poison Touch	Ability	Your Moves with range of engaged gain the Poison Property. 	0
Power Construct	Ability	You die	0
Power of Alchemy	Ability	When another Poke within short range feints you lose this Ability and choose one of their Abilities you gain that Ability for the rest of the battle	0
Power Spot	Ability	The base damage of Moves used by other allies within short range is increased by 2	0
Prankster	Ability	Your non-damaging Moves gain the Quickness Property	0
Pressure	Ability	Each time you are targeted by a Move the user suffers from Pointless 1	0
Primordial Sea	Ability	When you enter the battlefield Weather becomes Heavy Rain	0
Prism Armor	Ability	Moves you are weak to deal half as much extra damage as they usually would rounded down	0
Propeller Tail	Ability	You are immune to effects that would change the target of your Moves	0
Protean	Ability	When you use a Move your Type changes to match the Type of the Move. You gain STAB on that Move.	0
Protosynthesis	Ability	In Harsh Sunlight or Extremely Harsh Sunlight you gain one of the following Hone 2, Wax 2, Haste 2, Fortify 2, or Encourage 2. Which one is determained by what is currently your highest Stat. If there is a tie you pick which effect you recieve.	0
Psychic Surge	Ability	When you enter the battlefield Terrain becomes Psychic	0
Punk Rock	Ability	You take half damage from moves with the Vocal Property. Your Moves with the Vocal Property have their base damage increased by 2.	0
Pure Power	Ability	The first time you enter the battlefield Hone 2	0
Purifying Salt	Ability	You have resistance to Ghost Type Moves. You are immune to Status Effects.	0
Quark Drive	Ability	In Electric Terrain you gain one of the following Hone 2, Wax 2, Haste 2, Fortify 2, or Encourage 2. Which one is determained by what is currently your highest Stat. If there is a tie you pick which effect you recieve.	0
Queenly Majesty	Ability	When you are targeted by a Move with the Quickness Property the Move fails without a roll.	0
Quick Draw	Ability	Your Moves gain the Quickness Property but they cost one additional advantage to activate	0
Quick Feet	Ability	You do not lose your second manuver on a successful Status Effect check against Paralyze. While you have a Status Effect you gain Haste 2	0
Rain Dish	Ability	In Rain and Heavy Rain you heal 1 wound at the end of each round.	0
Rattled	Ability	Each time you are subject to the Intimidate Ability or the target of a successful Move check for a Ghost, Dark, or Bug Type Move gain Haste 1.	0
Receiver	Ability	When an ally within short range feints you lose this Ability and choose one of their Abilities you gain that Ability for the rest of the battle	0
Reckless	Ability	Base damage of Moves with the Recoil Property is increased by 2	0
Refrigerate	Ability	Your Normal Type Moves become Ice Type instead and their base damage increases by 1	0
Regenerator	Ability	When you are swapped out heal 5 wounds	0
Ripen	Ability	Double the effects of any berries you eat.	0
Rivalry	Ability	Base damage of your Moves is increased by 2 if the target of your Move is the same gender as you, otherwise your damage is reduced by 2.	0
RKS System	Ability	You Die	0
Rock Head	Ability	You are immune to suffering wounds from the Recoil Property	0
Rocky Payload	Ability	Base damage of your Rock Type Moves increase by 2	0
Rough Skin	Ability	Each time you are the target of a successful Move with the range of engaged the user suffers 1 wound.	0
Run Away	Ability	You are immune to the Trapped condition. You are able to leave wild battles without a check.	0
Sand Force	Ability	You take no damage from Sandstorm and Dust Devil. Base damage of Rock, Ground, and Steel Type Moves are increased buy 2 while weather is Sandstorm or Dust Devil.	0
Sand Rush	Ability	In Sandstorm or Dust Devil you gain Haste 2.	0
Sand Split	Ability	When you take wounds from another Poke's successful Move check the Weather becomes Sandstorm	0
Sand Stream	Ability	When you enter the battlefield Weather becomes Sandstorm	0
Sand Veil	Ability	In Sandstorm or Dust Devil you increase your armor by 2	0
Sap Sipper	Ability	If a Ground Type Move is sucessfully used against you you suffer no wounds and instead gain Hone 1	0
Schooling	Ability	Increase your Attack, Special Attack, Defense, and Special Defense by 2 while you wounds are less that 75% of your wound threshold	0
Scrappy	Ability	Your Moves ignore Ghost Type Immunities	0
Screen Cleaner	Ability	When you enter the battlefield remove Physical Resistance and Special Resistance conditions from Pokes within medium range	0
Seed Sower	Ability	When you take wounds from another Poke's successful Move check the Terrain becomes Grassy	0
Serene Grace	Ability	Your Moves have the Critical Property	0
Shadow Shield	Ability	If you would suffer wounds and are currently at 0 wounds suffer half as many wounds rounded up.	0
Shadow Tag	Ability	Enemies engaged with you gain Trapped condition	0
Sharpness	Ability	Base damage of your Moves with the Sharp Property are increased by 2	0
Shed Skin	Ability	You may spend 3 advantge on a Move or Status Effect check to remove a non-volitile Status Effect from yourself	0
Sheer Force	Ability	Base damage of your Moves increase by 2. You cannot activate Move Properties.	0
Shell Armor	Ability	Triumphs and Despairs rolled by others cannot be used against you	0
Shield Dust	Ability	You are immune to gaining conditions or Status Effects from other Pokes damaging Moves.	0
Shields Down	Ability	While your wounds are less than half your wounds threshold you are immune to gaining Status Effects	0
Simple	Ability	Your Move Properties with ranks are 1 rank higher	0
Skill Link	Ability	Your Moves with the Linked Property gain 2 free activations of the quality and have the rank of the quality increase by 1	0
Slow Start	Ability	The first time you enter the battlefield suffer Dull 2 and Slow 2	0
Slush Rush	Ability	In Hail or Hailstorm you gain Haste 2.	0
Sniper	Ability	When using a triumph to activate a Property increase the rank of that property once and activate it an additional time	0
Snow Cloak	Ability	In Hail or Hailstorm you increase your armor by 2	0
Snow Warning	Ability	When you enter the battlefield Weather becomes Hail	0
Solar Power	Ability	In Harsh Sunlight or Extremely Harsh Sunlight you gain Wax 2 and at the end of each round you suffer 2 wounds.	0
Solid Rock	Ability	Moves you are weak to deal half as much extra damage as they usually would rounded down	0
Soul-Heart	Ability	Each time a Poke within medium range feints Wax 1	0
Soundproof	Ability	When you are targeted by a Move with the Vocal Property the Move fails without a roll.	0
Speed Boost	Ability	At the end of each round gain Haste 1	0
Stakeout	Ability	Increase the base damage of your Moves by 2 if the target entered the battlefield this round.	0
Stall	Ability	You always act last each round. If multple Pokes hold this item the roll initutive normally but all others go before them.	0
Stalwart	Ability	You are immune to effects that would change the target of your Moves	0
Stamina	Ability	When you take wounds from another Poke's successful Move check gain Fortify 1.	0
Stance Change	Ability	The first time you use a damaging Move swap your Attack with Defense and your Special Attack with Special Defense prior to the Move check. 	0
Static	Ability	You may use 2 disadvantages on Moves used against you in engaged range to give the user the Paralyzed Status Effect	0
Steadfast	Ability	When ever you gain the Flinch condition Haste 1	0
Steam Engine	Ability	When you take wounds from another Poke's successful Move check If it was Fire or Water Type Haste 6	0
Steelworker	Ability	The base damage of your Steel type Moves is increased by 2	0
Steely Spirit	Ability	The base damage of Steel type Moves within medium range is increased by 2	0
Stench	Ability	Your damaging Moves gain the Flinch Property but cost an additional advantage to activate	0
Sticky Hold	Ability	You cannot lose your held item due to another Poke's Move	0
Storm Drain	Ability	You are immune to Water Type Moves. If a Water Type Move is used within medium range the target switches to you before the Move check is rolled. If the check succeeds you gain Wax 1.	0
Strong Jaw	Ability	The base damage of your bite Moves is increased by 2	0
Sturdy	Ability	If you are at 0 wounds and would suffer wounds greater than you wound threshhold instead suffer wounds equal to your wound threshold.	0
Suction Cups	Ability	Pokes within short range cannot be swapped out due to items of moves	0
Super Luck	Ability	Your Moves have the Critical Property	0
Supereme Overlord	Ability	The base damage of you Moves increases by 1 for each Poke in your party that is feinted.	0
Surge Surfer	Ability	While the battlefield is Electric Terrain the you gains Haste 2	0
Swarm	Ability	While your wounds are above half your wound threshold the base damage of Bug Type Moves is 2 higher	0
Sweet Veil	Ability	Allies within short range are immune to Sleep Status Effect	0
Swift Swim	Ability	In Rain and Heavy Rain you gain Haste 2	0
Sword of Ruin	Ability	Other Pokes within medium range suffer Erode 2	0
Symbiosis	Ability	When an ally within medium range uses a consumable held item you may give them your held item.	0
Sychronize	Ability	If you suffer the Burned, Paralyzed, or Poisoned Status Effect from another Pokes Move the user also suffers the same Status effect	0
Tablets of Ruin	Ability	Other Pokes within medium range suffer Dull 2	0
Tangled Feet	Ability	While you have the Confused Status Effect increase your armor by 2	0
Tangling Hair	Ability	Each time you are the target of a successful Move with the range of engaged the user suffers Slow 1	0
Technician	Ability	Base damage of your Moves with base damage of 5 or less are increased by 2. This is only aplied once per Move.	0
Telepathy	Ability	You are immune to the Blast and Surround properties from allies. you are immune Despairs rolled by other allies.	0
Teravolt	Ability	Other Pokes Abilities do not effect you and if an effect you cause would be ignored by an Ability that ability does not trigger	0
Thermal Exchange	Ability	You are immune to the Burned Status Effect. When you suffer wounds from a Fire Type Move gain Hone 1.	0
Thick Fat	Ability	If you wound suffer wounds from a Fire or Ice Type Move from another Poke suffer half as many wounds rounded up.	0
Tinted Lens	Ability	Ignore any effect that would lower damage done including resisteance.	0
Torrent	Ability	While your wounds are above half your wound threshold the base damage of Water Type Moves is 2 higher	0
Tough Claws	Ability	The base damage of your Moves with range of engaged are increased by 2	0
Toxic Boost	Ability	While you have the Poisoned Status Effect the base damage of your Brawl Moves is increased by 2	0
Toxic Debris	Ability	Each time you are the target of a successful Brawl Move check apply the Toxic Spikes entry hazzard to the battlefield	0
Trace	Ability	When you enter the battlefield you lose this Ability and choose one Ability from a Poke within engaged range you gain that Ability for the rest of the battle. If there is no one within engaged range this Ability tiggers on the first Poke to enter engaged range.	0
Transistor	Ability	The base damage of your Electric Type Moves is increased by 2	0
Triage	Ability	Your Moves with the Heal or Drain Properties gain the Quickness Property	0
Truant	Ability	You cannot make a Move check if you made one the previous round.	0
Turboblaze	Ability	Other Pokes Abilities do not effect you and if an effect you cause would be ignored by an Ability that ability does not trigger	0
Unaware	Ability	When you use a Move or are the target of a Move do not apply the effects of Hone, Wax, Haste, Encourage, Fortify, Dull, Wane, Slow, Erode, and Discourage.	0
Unburden	Ability	If you drop, use, or lose your held Item so you are no longer holding anything gain Haste 2	0
Unnerve	Ability	Enemies within short range cannot eat berries	0
Unseen Fist	Ability	Targetes of your engaged range Moves do not gain the effect of the Shielded condition	0
Vessel of Ruin	Ability	Other Pokes within medium range suffer Wane 2	0
Victory Star	Ability	Your Moves gain Accurate 1. If it already has Accurate increase its rank by 1.	0
Vital Spirit	Ability	You are immune to the Sleep Status Effect	0
Volt Absorb	Ability	If a Electric Type Move is sucessfully used against you you suffer no wounds and instead heal 4 wounds.	0
Wandering Spirit	Ability	When you succed on a Move check with range of engaged your target loses one ability and gains the ability Wandering Spirit until the end of the battle, you then lose Wandering Spirit and gain the Ability that was lost by your target.	0
Water Absorb	Ability	If a Water Type Move is sucessfully used against you you suffer no wounds and instead heal 4 wounds.	0
Water Bubble	Ability	If you would cause wounds with a Fire Type Move cause 2 less wounds. If you would cause wounds with a Water Type Move cause 2 more wounds. Apply this before Weakness and resistance are applied.	0
Water Compaction	Ability	When you suffer wounds from a Water Type Move gain Fortify 2.	0
Water Veil	Ability	You are immune to the Burned Status Effect.	0
Weak Armor	Ability	Each time you are the target of a successful Brawl Move gain Haste 2 and suffer Erode 1	0
Well-Baked Body	Ability	If a Fire Type Move is sucessfully used against you you suffer no wounds and instead Fortify 2.	0
White Smoke	Ability	You are immune to Dull, Wane, Slow, Erode, and Discourage caused by other Pokes	0
Wimp Out	Ability	The first time each battle that your wounds increase past half your wound threshold you can swap out as an out of turn incedental. If you are a wild Poke you instead leave the battle.	0
Wind Power	Ability	When you suffer wounds from a wind Move gain the Charged condition	0
Wind Rider	Ability	When you suffer wounds from a wind Move gain Hone 1	0
Wonder Guard	Ability	You do not recieve wounds from Moves unless you are weak to them.	0
Wonder Skin	Ability	Non-damaging Moves targeting you gain Inaccurate 5	0
Zen Mode	Ability	You Die	0
Zero to Hero	Ability	Increase your Attack by 2 and Special Attack by 1 when you enter the battlefield for the second time in the battle.	0
Serious	Nature	Increase - Hit Points | Decrease - Speed	0
Hardy	Nature	Increase - Hit Points | Decrease - Physical Attack	0
Bashful	Nature	Increase - Hit Points | Decrease - Special Attack	0
Docile	Nature	Increase - Hit Points | Decrease - Physical Defense	0
Quirky	Nature	Increase - Hit Points | Decrease - Special Defense	0
Skittish	Nature	Increase - Speed | Decrease - Hit Points	0
Timid	Nature	Increase - Speed  | Decrease - Physical Attack	0
Jolly	Nature	Increase - Speed | Decrease - Special Attack	0
Hasty	Nature	Increase - Speed  | Decrease - Physical Defense	0
Naive	Nature	Increase - Speed  | Decrease - Special Defense	0
Reckless	Nature	Increase - Physical Attack | Decrease - Hit Points	0
Brave	Nature	Increase - Physical Attack | Decrease - Speed	0
Adamant	Nature	Increase - Physical Attack | Decrease - Special Attack	0
Lonely	Nature	Increase - Physical Attack | Decrease - Physical Defense	0
Naughty	Nature	Increase - Physical Attack | Decrease - Special Attack	0
Arrogant	Nature	Increase - Special Attack | Decrease - Hit Points	0
Quite	Nature	Increase - Special Attack | Decrease - Speed	0
Modest	Nature	Increase - Special Attack | Decrease - Physical Attack	0
Mild	Nature	Increase - Special Attack | Decrease - Physical Defense	0
Rash	Nature	Increase - Special Attack | Decrease - Special Defense	0
Apathetic	Nature	Increase - Physical Defense | Decrease - Hit Points	0
Relaxed	Nature	Increase - Physical Defense | Decrease - Speed	0
Bold	Nature	Increase - Physical Defense | Decrease - Physical Attack	0
Impish	Nature	Increase - Physical Defense | Decrease - Special Attack	0
Lax	Nature	Increase - Physical Defense | Decrease - Special Defense	0
Curious	Nature	Increase - Special Defense | Decrease - Hit Points	0
Sassy	Nature	Increase - Special Defense | Decrease - Speed	0
Calm	Nature	Increase - Special Defense | Decrease - Physical Attack	0
Gental	Nature	Increase - Special Defense | Decrease - Special Attack	0
Careful	Nature	Increase - Special Defense | Decrease - Physical Defense	0
Nimble	Nature	Increase - Armor | Decrease - Hit Points	0
Clumsy	Nature	Increase - Armor | Decrease - Speed	0
Stubborn	Nature	Increase - Armor | Decrease - Physical Attack	0
Grumpy	Nature	Increase - Armor | Decrease - Special Attack	0
Relaxed	Nature	Increase - Armor | Decrease - Physical Defense	0
Cheerful	Nature	Increase - Armor | Decrease - Special Defense	0
Normal	Type	Put type effectivness details here.	0
Fire	Type	Put type effectivness details here.	0
Water	Type	Put type effectivness details here.	0
Grass	Type	Put type effectivness details here.	0
Electric	Type	Put type effectivness details here.	0
Ice	Type	Put type effectivness details here.	0
Fighting	Type	Put type effectivness details here.	0
Poison	Type	Put type effectivness details here.	0
Ground	Type	Put type effectivness details here.	0
Flying	Type	Put type effectivness details here.	0
Psychic	Type	Put type effectivness details here.	0
Bug	Type	Put type effectivness details here.	0
Rock	Type	Put type effectivness details here.	0
Ghost	Type	Put type effectivness details here.	0
Dark	Type	Put type effectivness details here.	0
Dragon	Type	Put type effectivness details here.	0
Steel	Type	Put type effectivness details here.	0
Fairy	Type	Put type effectivness details here.	0